output_name,chinese_name,category,role,source_psd,layer_path,output_path,resolved_output_name,is_alias,width,height,border,sha256
UI_Auth_Login_Background,登录与标题：Login / 背景,Auth,Background,Login.psd,Background,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_Background.png,UI_Auth_Login_Background,False,1922,1082,"0,0,0,0",336b1a5eada2d4edd38954301630320410eed1abfd946df96f74ba68ccb93dfd
UI_Auth_Login_BtnFacebook_Btn_Normal,登录与标题：Login / 按钮底图 / Facebook / 按钮底图 / 普通状态,Auth,Sliced,Login.psd,btn_facebook/btn,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_BtnFacebook_Btn_Normal.png,UI_Auth_Login_BtnFacebook_Btn_Normal,False,604,103,"23,23,23,23",7f75cec161424efdb45f3fec78dd504456548c7e067a4f435601cba417161204
UI_Auth_Login_BtnGameCenter_Btn_Normal,登录与标题：Login / 按钮底图 / Game / Center / 按钮底图 / 普通状态,Auth,Sliced,Login.psd,btn_game center/btn,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_BtnGameCenter_Btn_Normal.png,UI_Auth_Login_BtnGameCenter_Btn_Normal,False,604,103,"23,23,23,23",d845eb76685302ca94d2e73eb9553d7250ca5e24f57b70148479ca8512dd5f28
UI_Auth_Login_BtnGoogle_Btn_Normal,登录与标题：Login / 按钮底图 / Google / 按钮底图 / 普通状态,Auth,Sliced,Login.psd,btn_google/btn,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_BtnGoogle_Btn_Normal.png,UI_Auth_Login_BtnGoogle_Btn_Normal,False,604,103,"23,23,23,23",a625c49c06d273eddf0499eb0c4e6b0fd9c352edb1b1630d48c3b7c848004901
UI_Auth_Login_ButtonBlue_Btn_Normal,登录与标题：Login / 按钮 / 蓝色 / 按钮底图 / 普通状态,Auth,Sliced,Login.psd,Button_Blue/btn,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_ButtonBlue_Btn_Normal.png,UI_Auth_Login_ButtonBlue_Btn_Normal,False,226,103,"23,23,23,23",7c99f174761731dd363d87f9823a5e24c2f4649394960241f1f09cdd84a7686b
UI_Auth_Title_Background,登录与标题：标题 / 背景,Auth,Background,Title.psd,Background,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Login_Background.png,UI_Auth_Login_Background,True,1922,1082,"0,0,0,0",336b1a5eada2d4edd38954301630320410eed1abfd946df96f74ba68ccb93dfd
UI_Auth_Title_Loading,登录与标题：标题 / 加载,Auth,Simple,Title.psd,Loading,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_Title_Loading.png,UI_Auth_Title_Loading,False,1133,80,"0,0,0,0",1e2ac99653a0d783bb156bed86a5a278ffcc98031be4ef50f1d292f332810273
UI_Auth_TitleStart_Background,登录与标题：标题 / Start / 背景,Auth,Background,TitleStart.psd,Background,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_TitleStart_Background.png,UI_Auth_TitleStart_Background,False,1920,1080,"0,0,0,0",cb75e786296d4e180e75d58ad79441195f89417ade0f04b6ee42ae672bcb6374
UI_Auth_TitleStart_ButtonStart_Bg_Background,登录与标题：标题 / Start / 按钮 / Start / Bg / 背景,Auth,Background,TitleStart.psd,ButtonStart/bg,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_TitleStart_ButtonStart_Bg_Background.png,UI_Auth_TitleStart_ButtonStart_Bg_Background,False,854,129,"0,0,0,0",bc1f8c3e542991bae417b651867e3aac5a4f445fbc72bc7ce032dbf634a9bdf3
UI_Auth_TitleStart_Contrast,登录与标题：标题 / Start / Contrast,Auth,Simple,TitleStart.psd,Contrast,Assets/AllResources/淘宝ui素材/RuntimeSprites/Auth/UI_Auth_TitleStart_Contrast.png,UI_Auth_TitleStart_Contrast,False,1922,1082,"0,0,0,0",ae768c0661d3083562afea4974e366bb78a53ca22f31dcabec19ba595dbeec1c
UI_Character,角色界面：未分类组件,Character,Simple,Character.psd,Character,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character.png,UI_Character,False,613,593,"0,0,0,0",5b677d4a4f9e737f8bd03009e495c9ef722414aaf05b9f41f6f623f89800dd80
UI_Character_Background,角色界面：背景,Character,Background,Character.psd,Background,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character_Background.png,UI_Character_Background,False,1920,1080,"0,0,0,0",9f954b649f0a65e8aff588740430aaccb881dd5d3f2b544b06d9a15aac9e3616
UI_Character_ButtonGreen,角色界面：按钮 / 绿色,Character,Simple,Character.psd,Button_Green,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character_ButtonGreen.png,UI_Character_ButtonGreen,False,316,103,"0,0,0,0",fdfcbfe4960ab373b877cee7e0434022d355b126a019f3dc14a6ed8a0e055d7e
UI_Character_CharacterSelect_Background,角色界面：角色 / Select / 背景,Character,Background,CharacterSelect.psd,Background,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character_CharacterSelect_Background.png,UI_Character_CharacterSelect_Background,False,1920,1080,"0,0,0,0",4e54d7b7a509bf06526e28ea33f38e15e126f8fb119afb91b6ce366becee96ed
UI_Character_CharacterSelect_ButtonGreen_Btn_Normal,角色界面：角色 / Select / 按钮 / 绿色 / 按钮底图 / 普通状态,Character,Sliced,CharacterSelect.psd,Button_Green/btn,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character_CharacterSelect_ButtonGreen_Btn_Normal.png,UI_Character_CharacterSelect_ButtonGreen_Btn_Normal,False,316,103,"23,23,23,23",fdfcbfe4960ab373b877cee7e0434022d355b126a019f3dc14a6ed8a0e055d7e
UI_Character_CharacterSelect_Slot01_CharacterSample,角色界面：角色 / Select / Slot01 / 角色 / Sample,Character,Simple,CharacterSelect.psd,CharacterSelect/1/Character_sample,Assets/AllResources/淘宝ui素材/RuntimeSprites/Character/UI_Character_CharacterSelect_Slot01_CharacterSample.png,UI_Character_CharacterSelect_Slot01_CharacterSample,False,404,645,"0,0,0,0",18d060b4b474af797fa96f8e9d363e6d949ad117713925b6f98f4c5465080990
